Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Highest
"Wii Sports",41.49,29.02,3.77,8.46,82.74,NA
"Grand Theft Auto V",23.46,23.04,1.39,8.03,55.92,NA
"Super Mario Bros.",32.48,4.88,6.96,0.99,45.31,NA
Tetris,26.17,2.95,6.03,0.69,35.84,NA
"Mario Kart Wii",15.85,12.88,3.79,3.31,35.82,NA
"Wii Sports Resort",15.75,11.01,3.28,2.96,33,NA
"Pokemon Red/Pokemon Blue",11.27,8.89,10.22,1,31.37,NA
"Call of Duty: Modern Warfare 3",15.58,11.29,0.62,3.35,30.83,NA
"New Super Mario Bros.",11.38,9.23,6.5,2.9,30.01,NA
"Call of Duty: Black Ops II",14.08,11.05,0.72,3.88,29.72,NA
"Call of Duty: Black Ops",17.01,8.69,0.59,3.12,29.4,NA
"Wii Play",14.03,9.2,2.93,2.85,29.02,NA
"New Super Mario Bros. Wii",14.59,7.06,4.7,2.26,28.62,NA
"Duck Hunt",26.93,0.63,0.28,0.47,28.31,NA
"Call of Duty: Ghosts",14.92,9.05,0.48,2.92,27.38,NA
"Super Mario World",15.99,4.86,4.49,0.75,26.07,NA
"Call of Duty: Black Ops 3",11.89,9.56,0.43,3.42,25.32,NA
"Call of Duty: Modern Warfare 2",13.52,8.11,0.46,3.01,25.09,NA
Nintendogs,9.07,11,1.93,2.75,24.76,EU
"Grand Theft Auto: San Andreas",10.77,1.96,0.41,10.72,23.86,NA
Minecraft,10.82,8.85,1.15,2.93,23.73,NA
"Mario Kart DS",9.81,7.57,4.13,1.92,23.42,NA
"Pokemon Gold/Pokemon Silver",9,6.18,7.2,0.71,23.1,NA
"Wii Fit",8.94,8.03,3.6,2.15,22.72,NA
"Super Mario Bros. 3",12.47,4.69,4.67,0.66,22.48,NA
"Grand Theft Auto IV",11.53,7.65,0.58,2.73,22.47,NA
"Super Mario 64",11.99,5.96,3.16,1.21,22.31,NA
"Wii Fit Plus",9.09,8.59,2.53,1.79,22,NA
"Call of Duty: Advanced Warfare",10.44,8.18,0.34,2.93,21.9,NA
"Kinect Adventures!",14.97,4.94,0.24,1.67,21.82,NA
"Brain Age: Train Your Brain in Minutes a Day",4.75,9.26,4.16,2.05,20.22,EU
"The Elder Scrolls V: Skyrim",8.73,7.66,0.35,2.54,19.28,NA
"FIFA 15",3.2,12.4,0.13,3.29,19.02,EU
"Pokemon Diamond/Pokemon Pearl",6.42,4.52,6.04,1.37,18.36,NA
"Call of Duty 4: Modern Warfare",9.97,5.82,0.42,2.05,18.25,NA
"Super Mario Land",10.83,2.71,4.18,0.42,18.14,NA
"Battlefield 3",8.2,6.49,0.41,2.27,17.36,NA
"FIFA 14",2.84,11.14,0.2,2.98,17.14,EU
"FIFA 16",2.98,11.29,0.11,2.05,16.44,EU
"Guitar Hero III: Legends of Rock",11.15,2.59,0.04,2.64,16.4,NA
"Grand Theft Auto: Vice City",8.41,5.52,0.47,1.79,16.19,NA
"FIFA Soccer 13",2.64,10.25,0.23,3.03,16.16,EU
"Call of Duty: World at War",9.3,4.75,0,1.83,15.87,NA
"Pokemon Ruby/Pokemon Sapphire",6.06,3.9,5.38,0.5,15.85,NA
"LEGO Star Wars: The Complete Saga",9.1,5.01,0,1.62,15.75,NA
"The Sims 3",4.28,9.6,0.05,1.53,15.45,EU
"Pokemon Black/Pokemon White",5.57,3.28,5.65,0.82,15.32,JP
"Brain Age 2: More Training in Minutes a Day",3.44,5.36,5.32,1.18,15.3,EU
"Gran Turismo 3: A-Spec",6.85,5.09,1.87,1.16,14.98,NA
"Pok̩mon Yellow: Special Pikachu Edition",5.89,5.04,3.12,0.59,14.64,NA
"Pokemon X/Pokemon Y",5.17,4.05,4.34,0.79,14.35,NA
"Need for Speed: Most Wanted",6.29,5.85,0.18,1.76,14.08,NA
"Battlefield 4",6.41,5.57,0.46,1.6,14.03,NA
"Donkey Kong Country",6.6,2.91,3.59,0.43,13.53,NA
"Mario & Sonic at the Olympic Games",4.22,6.38,1.1,1.49,13.2,EU
"Assassin's Creed IV: Black Flag",6.17,5.18,0.2,1.65,13.16,NA
"FIFA 12",2.08,8.5,0.15,2.41,13.15,EU
"Grand Theft Auto III",6.99,4.52,0.3,1.3,13.11,NA
"Assassin's Creed III",6.24,4.93,0.19,1.74,13.1,NA
"Super Smash Bros. Brawl",6.75,2.61,2.66,1.02,13.04,NA
"Red Dead Redemption",6.49,4.58,0.26,1.6,12.94,NA
"Just Dance 3",7.85,3.76,0,1.32,12.92,NA
Destiny,6.59,4.12,0.28,1.62,12.61,NA
"FIFA Soccer 11",1.94,8.01,0.09,2.51,12.56,EU
"Super Smash Bros. for Wii U and 3DS",5.83,2.41,3.22,1,12.47,NA
"Fallout 4",5.42,5.04,0.25,1.57,12.28,NA
"Animal Crossing: Wild World",2.55,3.52,5.33,0.88,12.27,JP
"Mario Kart 7",4.74,3.91,2.67,0.89,12.21,NA
"Halo 3",7.97,2.83,0.13,1.21,12.14,NA
"Pokemon HeartGold/Pokemon SoulSilver",4.4,2.77,3.96,0.77,11.9,NA
"The Legend of Zelda: Ocarina of Time",6.13,3.16,2.07,0.46,11.81,NA
"Star Wars Battlefront (2015)",5,4.88,0.24,1.58,11.7,NA
"Gran Turismo 4",3.01,0.01,1.1,7.53,11.66,NA
"Super Mario Galaxy",6.16,3.4,1.2,0.76,11.52,NA
"Assassin's Creed II",5.65,3.96,0.29,1.49,11.41,NA
"Pokemon Omega Ruby/Pokemon Alpha Sapphire",4.23,3.37,3.08,0.65,11.33,NA
"Assassin's Creed",5.2,4.48,0.16,1.46,11.3,NA
"Grand Theft Auto: Liberty City Stories",4.46,4.23,0.31,2.25,11.26,NA
"Batman: Arkham City",6.02,3.68,0.15,1.33,11.2,NA
"Super Mario Land 2: 6 Golden Coins",6.16,2.04,2.69,0.29,11.18,NA
"Diablo III",4.87,4.54,0.21,1.44,11.08,NA
"Need for Speed Underground 2",5.21,4.41,0.09,1.25,10.97,NA
"Gran Turismo",4.02,3.87,2.54,0.52,10.95,NA
"Super Mario 3D Land",4.89,2.99,2.13,0.78,10.79,NA
"Gran Turismo 5",2.96,4.88,0.81,2.12,10.77,EU
"FIFA Soccer 10",1.94,6.23,0.07,2.49,10.74,EU
"Super Mario All-Stars",5.99,2.15,2.12,0.29,10.55,NA
"The Last of Us",4.19,4.15,0.35,1.83,10.54,NA
"Pokemon FireRed/Pokemon LeafGreen",4.34,2.65,3.15,0.35,10.49,NA
"Need for Speed Underground",5.26,3.98,0.09,1.14,10.46,NA
"Star Wars: The Force Unleashed",5.32,2.97,0.01,1.91,10.23,NA
"Dr. Mario",4.8,1.56,3.52,0.3,10.19,NA
"Guitar Hero: World Tour",6.21,2.23,0,1.65,10.08,NA
"Fallout 3",5.56,3.11,0.16,1.11,9.96,NA
"Halo: Reach",7.03,1.98,0.08,0.78,9.88,NA
"Mario Kart 64",5.55,1.94,2.23,0.15,9.87,NA
"LEGO Marvel Super Heroes",4.41,4.14,0.08,1.23,9.86,NA
"New Super Mario Bros. 2",3.66,3.07,2.47,0.63,9.82,NA
"Zumba Fitness",5.52,3.33,0,0.94,9.79,NA
"Halo 4",6.63,2.36,0.04,0.73,9.76,NA
"Final Fantasy VII",3.01,2.47,3.28,0.96,9.72,JP
"LEGO Indiana Jones: The Original Adventures",5.28,2.6,0,1.81,9.66,NA
"Just Dance 2",5.84,2.89,0.01,0.78,9.52,NA
"Gran Turismo 2",3.88,3.42,1.69,0.5,9.49,NA
"Watch Dogs",3.8,4.04,0.22,1.44,9.49,EU
"FIFA Soccer 08",1.96,3.97,0.04,3.53,9.49,EU
"Madden NFL 07",7.89,0.41,0.03,0.89,9.2,NA
"Assassin's Creed: Revelations",3.8,3.97,0.14,1.29,9.19,EU
"LEGO Batman: The Videogame",5.28,2.57,0,1.33,9.18,NA
"Animal Crossing: New Leaf",2.01,2.32,4.36,0.41,9.09,JP
Pac-Man,7.55,0.53,0.85,0.1,9.03,NA
"Mario Party DS",4.46,1.88,1.98,0.7,9.02,NA
"Just Dance 4",5.52,2.67,0,0.73,8.93,NA
"Medal of Honor: Frontline",4.39,3.3,0.17,1.07,8.91,NA
"The Legend of Zelda: Twilight Princess",4.98,2.55,0.64,0.74,8.9,NA
"Super Mario Kart",3.54,1.24,3.81,0.18,8.76,JP
"Resident Evil 5",4.08,2.41,1.2,1,8.69,NA
"Far Cry 4",2.84,4.45,0.19,1.18,8.68,EU
"FIFA Soccer 09",1.7,4.02,0.08,2.86,8.67,EU
"Medal of Honor",4.47,3.18,0.11,0.85,8.61,NA
"Halo 2",6.83,1.59,0.05,0.1,8.59,NA
"Need for Speed: ProStreet",3.35,2.56,0.1,2.61,8.58,NA
"LEGO Harry Potter: Years 1-4",4.01,3.5,0,1.01,8.53,NA
LittleBigPlanet,3.44,3.29,0.18,1.59,8.5,NA
"Wii Party",1.79,3.53,2.49,0.68,8.49,EU
"Pro Evolution Soccer 2008",0.28,3.38,1.3,3.51,8.47,EU
"Donkey Kong Country Returns",3.98,2.46,1.43,0.59,8.46,NA
"Tony Hawk's Pro Skater",6,2.16,0.03,0.28,8.46,NA
"Madden NFL 06",7.14,0.46,0.01,0.83,8.44,NA
"Mario Party 8",3.81,2.3,1.58,0.73,8.42,NA
"Fallout: New Vegas",4.75,2.59,0.14,0.94,8.41,NA
"Spider-Man: The Movie",5.56,2.41,0.05,0.37,8.4,NA
"Mortal Kombat",6.04,1.69,0,0.68,8.4,NA
"Pokemon Black 2/Pokemon White 2",2.91,1.86,3.14,0.43,8.33,JP
"Kingdom Hearts",4.54,1.57,1.74,0.31,8.15,NA
"Madden NFL 08",7.15,0.23,0,0.78,8.15,NA
"Mario & Sonic at the Olympic Winter Games",3.11,3.65,0.49,0.86,8.1,EU
"GoldenEye 007",5.8,2.01,0.13,0.15,8.09,NA
"Batman: Arkham Asylum",4.43,2.58,0.09,0.97,8.07,NA
"Final Fantasy X",2.91,2.07,2.73,0.33,8.05,NA
"Tony Hawk's Pro Skater 3",5.16,2.29,0.03,0.58,8.05,NA
"NBA 2K16",5.64,1.14,0.06,1.17,8.03,NA
"Assassin's Creed: Unity",3.61,3.18,0.08,1.05,7.93,NA
"Final Fantasy VIII",2.28,1.72,3.63,0.23,7.86,JP
"Pok̩mon Platinum Version",2.82,1.78,2.69,0.55,7.84,NA
"The Elder Scrolls IV: Oblivion",4.52,2.12,0.27,0.87,7.77,NA
Monopoly,4.67,2.49,0,0.53,7.7,NA
"Super Mario Galaxy 2",3.66,2.42,0.98,0.64,7.69,NA
"Harry Potter and the Sorcerer's Stone",3.44,3.47,0.32,0.42,7.64,EU
"Spider-Man 2",4.74,2.14,0.05,0.69,7.64,NA
"Harry Potter and the Chamber of Secrets",3.66,3.18,0.11,0.68,7.64,NA
"Madden NFL 2005",6.85,0.53,0.01,0.21,7.6,NA
"Resident Evil 4",4.4,1.84,0.82,0.53,7.6,NA
"Crash Bandicoot 2: Cortex Strikes Back",3.78,2.17,1.31,0.31,7.58,NA
"Madden NFL 10",6.56,0.34,0,0.67,7.57,NA
"LEGO Star Wars III: The Clone Wars",3.95,2.81,0,0.82,7.56,NA
"Final Fantasy XIII",3.01,1.92,1.88,0.72,7.53,NA
"Tomb Raider II",3.21,3.71,0.2,0.41,7.53,EU
"Far Cry 3",2.47,3.72,0.12,1.14,7.47,EU
"Super Mario Bros. 2",5.39,1.18,0.7,0.19,7.46,NA
"Madden NFL 16",5.78,0.54,0,1.1,7.42,NA
"WWE SmackDown vs Raw 2008",3.4,1.86,0.02,2.15,7.41,NA
